날짜,동이름,세대수,총인구수,남성수,여성수,증감세대수,증감인구수
2015년 10월,도마1동,7911,17771,9075,8696,-7,-60
2015년 10월,도마2동,8474,20936,10666,10270,-28,-74
2015년 10월,변동,7486,18034,9100,8934,-4,-57
2015년 11월,도마1동,7893,17711,9042,8669,-18,-60
2015년 11월,도마2동,8451,20850,10626,10224,-23,-86
2015년 11월,변동,7492,18001,9096,8905,6,-33
2015년 12월,도마1동,7880,17637,8997,8640,-22,-74
2015년 12월,도마2동,8418,20726,10560,10166,-13,-124
2015년 12월,변동,7485,17976,9095,8881,-5,-25
2016년 1월,도마1동,7860,17586,8975,8611,-20,-51
2016년 1월,도마2동,8380,20614,10485,10129,-38,-112
2016년 1월,변동,7490,18010,9117,8893,5,34
2016년 2월,도마1동,7875,17529,8938,8591,15,-57
2016년 2월,도마2동,8388,20560,10455,10105,8,-54
2016년 2월,변동,7511,18006,9125,8881,21,-4
2016년 3월,도마1동,7889,17521,8923,8598,14,-8
2016년 3월,도마2동,8393,20514,10437,10077,5,-46
2016년 3월,변동,7523,18005,9129,8876,12,-1
2016년 4월,도마1동,7886,17489,8900,8589,-3,-32
2016년 4월,도마2동,8395,20530,10442,10088,2,16
2016년 4월,변동,7501,17922,9096,8826,-22,-83
2016년 5월,도마1동,7870,17424,8871,8553,-16,-65
2016년 5월,도마2동,8396,20558,10472,10086,1,28
2016년 5월,변동,7509,17910,9088,8822,8,-12
2016년 6월,도마1동,7856,17362,8821,8541,-14,-62
2016년 6월,도마2동,8402,20542,10467,10075,6,-16
2016년 6월,변동,7517,17895,9086,8809,8,-15
2016년 7월,도마1동,7874,17360,8809,8551,18,-2
2016년 7월,도마2동,8417,20532,10465,10067,15,-10
2016년 7월,변동,7535,17903,9092,8811,18,8
2016년 8월,도마1동,7901,17373,8822,8551,27,13
2016년 8월,도마2동,8426,20499,10445,10054,9,-33
2016년 8월,변동,7520,17828,9059,8769,-15,-75
2016년 9월,도마1동,7899,17347,8818,8529,-2,-26
2016년 9월,도마2동,8439,20476,10445,10031,13,-23
2016년 9월,변동,7531,17834,9069,8765,11,6
2016년 10월,도마1동,7910,17324,8822,8502,11,-23
2016년 10월,도마2동,8451,20418,10405,10013,12,-58
2016년 10월,변동,7517,17799,9057,8742,-14,-35
2016년 11월,도마1동,7874,17210,8758,8452,-36,-114
2016년 11월,도마2동,8457,20387,10385,10002,6,-31
2016년 11월,변동,7504,17753,9029,8724,-13,-46
2016년 12월,도마1동,7890,17199,8738,8461,16,-11
2016년 12월,도마2동,8452,20341,10361,9980,-5,-46
2016년 12월,변동,7497,17694,9002,8692,-7,-59
2017년 1월,도마1동,7894,17179,8732,8447,4,-20
2017년 1월,도마2동,8450,20330,10349,9981,-2,-11
2017년 1월,변동,7489,17631,8971,8660,-8,-63
2017년 2월,도마1동,7926,17131,8713,8418,32,-48
2017년 2월,도마2동,8458,20263,10304,9959,8,-67
2017년 2월,변동,7497,17609,8967,8642,8,-22
2017년 3월,도마1동,7931,17101,8694,8407,5,-30
2017년 3월,도마2동,8477,20289,10325,9964,19,26
2017년 3월,변동,7466,17513,8930,8583,-31,-96
2017년 4월,도마1동,7928,17074,8695,8379,-3,-27
2017년 4월,도마2동,8486,20270,10302,9968,9,-19
2017년 4월,변동,7439,17438,8887,8551,-27,-75
2017년 5월,도마1동,7947,17064,8710,8354,19,-10
2017년 5월,도마2동,8458,20204,10253,9951,-28,-66
2017년 5월,변동,7474,17463,8902,8561,35,25
2017년 6월,도마1동,7950,17024,8697,8327,3,-40
2017년 6월,도마2동,8467,20188,10236,9952,9,-16
2017년 6월,변동,7445,17407,8867,8540,-29,-56
2017년 7월,도마1동,7944,17003,8687,8316,-6,-21
2017년 7월,도마2동,8476,20148,10215,9933,9,-40
2017년 7월,변동,7457,17374,8862,8512,12,-33
2017년 8월,도마1동,7951,17020,8710,8310,7,17
2017년 8월,도마2동,8498,20108,10196,9912,22,-40
2017년 8월,변동,7499,17406,8870,8536,42,32
2017년 9월,도마1동,7983,17059,8719,8340,32,39
2017년 9월,도마2동,8483,20060,10164,9896,-15,-48
2017년 9월,변동,7504,17384,8851,8533,5,-22
2017년 10월,도마1동,7981,17055,8710,8345,-2,-4
2017년 10월,도마2동,8480,20001,10138,9863,-3,-59
2017년 10월,변동,7525,17393,8860,8533,21,9
2017년 11월,도마1동,7968,17005,8696,8309,-13,-50
2017년 11월,도마2동,8477,19914,10095,9819,-3,-87
2017년 11월,변동,7524,17356,8850,8506,-1,-37
