날짜,요일,주말여부,주문수,코로나발발,공휴일,복날,방학여부,평균기온,최저기온,최고기온,강우여부,강수량mm,지하철승하차인원,버스승하차인원,도마1동인구,도마2동인구,변동인구,영업가게,확진자,완치자,사망자,전국확진자,전국완치자,전국사망자,구글검색량,네이버검색량,유튜브조회수
2015-11-08,일,1,64,0,0,0,0,13.9,13.4,14.5,1,15.5,80547,195785,17755,20916,18026,45,0,0,0,0,0,0,26,13.24978,0
2015-11-09,월,0,31,0,0,0,0,13.1,11.5,15.2,1,1.7,123733,359972,17753,20913,18025,45,0,0,0,0,0,0,NA,6.657635,0
2015-11-10,화,0,19,0,0,0,0,11,8,14.5,0,NA,128041,363298,17751,20910,18024,45,0,0,0,0,0,0,NA,8.93146,0
2015-11-11,수,0,28,0,0,0,0,11.9,6.8,18.3,0,NA,128533,368368,17749,20907,18023,45,0,0,0,0,0,0,NA,9.810341,0
2015-11-12,목,0,24,0,0,0,0,13.6,8.8,19.4,0,NA,128126,364174,17747,20904,18022,45,0,0,0,0,0,0,NA,10.47592,0
2015-11-13,금,0,50,0,0,0,0,12.2,11.1,13.6,1,30.7,121369,335597,17745,20901,18021,45,0,0,0,0,0,0,NA,16.27383,0
2015-11-14,토,1,53,0,0,0,0,13.5,12.2,15.7,1,3.7,88336,276113,17743,20898,18020,45,0,0,0,0,0,0,NA,18.70013,0
2015-11-15,일,1,54,0,0,0,0,13.5,9.8,17,0,NA,85890,209795,17741,20895,18019,45,0,0,0,0,0,0,36,14.64681,0
2015-11-16,월,0,34,0,0,0,0,11.7,8.4,14.2,1,26.3,121420,336117,17739,20892,18018,45,0,0,0,0,0,0,NA,7.941536,0
2015-11-17,화,0,37,0,0,0,0,13.7,12.1,15.1,1,1.5,122897,351354,17737,20889,18017,45,0,0,0,0,0,0,NA,8.819492,0
2015-11-18,수,0,33,0,0,0,0,12.1,10.2,13.5,1,1.9,122900,351380,17735,20886,18016,45,0,0,0,0,0,0,NA,13.323877,0
2015-11-19,목,0,32,0,0,0,0,10.3,9.5,11.3,1,1.8,123621,358817,17733,20883,18015,45,0,0,0,0,0,0,NA,10.684855,0
2015-11-20,금,0,47,0,0,0,0,11.2,8.7,15.1,0,NA,127360,356274,17731,20880,18014,45,0,0,0,0,0,0,NA,14.118968,0
2015-11-21,토,1,49,0,0,0,0,10,7.6,13,0,NA,91152,264052,17729,20877,18013,45,0,0,0,0,0,0,NA,15.77061,0
2015-11-22,일,1,47,0,0,0,0,11.9,6,17.1,1,0.1,80740,197784,17727,20874,18012,45,0,0,0,0,0,0,30,13.80859,0
