날짜,요일,주문수,평균기온,최저기온,최고기온,강수량mm,구글검색량,네이버검색량,확진자,사망자,완치자,지하철승하차인원,공휴일,복날,방학여부,도마1동인구,도마2동인구,변동인구,영업가게,유튜브조회수,전국확진자,전국완치자,전국사망자,코로나발발
2015-11-08,일,64,13.9,13.4,14.5,15.5,26,NA,0,0,0,NA,0,0,0,17755,20916,18026,45,NA,0,0,0,0
2015-11-09,월,31,13.1,11.5,15.2,1.7,27.42857143,NA,0,0,0,NA,0,0,0,17753,20913,18025,45,NA,0,0,0,0
2015-11-10,화,19,11,8,14.5,NA,28.85714286,NA,0,0,0,NA,0,0,0,17751,20910,18024,45,NA,0,0,0,0
2015-11-11,수,28,11.9,6.8,18.3,NA,30.28571429,NA,0,0,0,NA,0,0,0,17749,20907,18023,45,NA,0,0,0,0
2015-11-12,목,24,13.6,8.8,19.4,NA,31.71428571,NA,0,0,0,NA,0,0,0,17747,20904,18022,45,NA,0,0,0,0
2015-11-13,금,50,12.2,11.1,13.6,30.7,33.14285714,NA,0,0,0,NA,0,0,0,17745,20901,18021,45,NA,0,0,0,0
2015-11-14,토,53,13.5,12.2,15.7,3.7,34.57142857,NA,0,0,0,NA,0,0,0,17743,20898,18020,45,NA,0,0,0,0
2015-11-15,일,54,13.5,9.8,17,NA,36,NA,0,0,0,NA,0,0,0,17741,20895,18019,45,NA,0,0,0,0
2015-11-16,월,34,11.7,8.4,14.2,26.3,35.14285714,NA,0,0,0,NA,0,0,0,17739,20892,18018,45,NA,0,0,0,0
2015-11-17,화,37,13.7,12.1,15.1,1.5,34.28571429,NA,0,0,0,NA,0,0,0,17737,20889,18017,45,NA,0,0,0,0
2015-11-18,수,33,12.1,10.2,13.5,1.9,33.42857143,NA,0,0,0,NA,0,0,0,17735,20886,18016,45,NA,0,0,0,0
2015-11-19,목,32,10.3,9.5,11.3,1.8,32.57142857,NA,0,0,0,NA,0,0,0,17733,20883,18015,45,NA,0,0,0,0
2015-11-20,금,47,11.2,8.7,15.1,NA,31.71428571,NA,0,0,0,NA,0,0,0,17731,20880,18014,45,NA,0,0,0,0
2015-11-21,토,49,10,7.6,13,NA,30.85714286,NA,0,0,0,NA,0,0,0,17729,20877,18013,45,NA,0,0,0,0
2015-11-22,일,47,11.9,6,17.1,0.1,30,NA,0,0,0,NA,0,0,0,17727,20874,18012,45,NA,0,0,0,0
2015-11-23,월,32,10.8,9.6,13.3,9.6,32.71428571,NA,0,0,0,NA,0,0,0,17725,20871,18011,45,NA,0,0,0,0
2015-11-24,화,48,7.9,5.1,9.6,0.8,35.42857143,NA,0,0,0,NA,0,0,0,17723,20868,18010,45,NA,0,0,0,0
2015-11-25,수,30,5.7,3.4,7.2,8.7,38.14285714,NA,0,0,0,NA,0,0,0,17721,20865,18009,45,NA,0,0,0,0
2015-11-26,목,36,0.4,-1.2,3.4,1.9,40.85714286,NA,0,0,0,NA,0,0,0,17719,20862,18008,45,NA,0,0,0,0
2015-11-27,금,44,0.1,-2.3,2.6,0,43.57142857,NA,0,0,0,NA,0,0,0,17717,20859,18007,45,NA,0,0,0,0
2015-11-28,토,64,3.5,0.7,8,0.1,46.28571429,NA,0,0,0,NA,0,0,0,17715,20856,18005,45,NA,0,0,0,0
2015-11-29,일,63,6.8,3.5,11.2,0,49,NA,0,0,0,NA,0,0,0,17713,20853,18003,45,NA,0,0,0,0
2015-11-30,월,33,6.9,2.3,11.1,0,45.42857143,NA,0,0,0,NA,0,0,0,17711,20850,18001,45,NA,0,0,0,0
2015-12-01,화,49,4.4,-1.4,12.4,NA,41.85714286,NA,0,0,0,NA,0,0,0,17709,20846,18000,45,NA,0,0,0,0
2015-12-02,수,32,6.2,3,9.7,6.7,38.28571429,NA,0,0,0,NA,0,0,0,17707,20842,17999,45,NA,0,0,0,0
2015-12-03,목,52,2.6,-0.6,6.8,3.6,34.71428571,NA,0,0,0,NA,0,0,0,17704,20838,17998,45,NA,0,0,0,0
2015-12-04,금,51,1.8,-1.4,4.3,0.5,31.14285714,NA,0,0,0,NA,0,0,0,17702,20834,17997,45,NA,0,0,0,0
2015-12-05,토,61,5.4,3.3,8.2,NA,27.57142857,NA,0,0,0,NA,0,0,0,17698,20830,17996,45,NA,0,0,0,0
2015-12-06,일,53,2.1,-1.6,6.9,NA,24,NA,0,0,0,NA,0,0,0,17696,20826,17995,45,NA,0,0,0,0
2015-12-07,월,33,2.1,-4,9.4,NA,26.42857143,NA,0,0,0,NA,0,0,0,17693,20822,17994,45,NA,0,0,0,0
2015-12-08,화,41,3.4,-1.7,10.4,NA,28.85714286,NA,0,0,0,NA,0,0,0,17691,20818,17993,45,NA,0,0,0,0
2015-12-09,수,27,5.2,-1.4,12.9,NA,31.28571429,NA,0,0,0,NA,0,0,0,17689,20814,17992,45,NA,0,0,0,0
2015-12-10,목,45,8.1,6.4,9.6,10.3,33.71428571,NA,0,0,0,NA,0,0,0,17687,20810,17991,45,NA,0,0,0,0
