,y_test,linear,Ridge,lasso,K-NN,random_forest,Gradient_boosting,xgb
0,39,40.03112424549815,40.03112424549815,40.03112424549815,40.888888888888886,37.03,44.48773125699355,45.283333
1,53,56.30247561014124,56.30247561014124,56.30247561014124,52.44444444444444,55.12,53.28323527741722,57.256237
2,35,34.503528516956116,34.503528516956116,34.503528516956116,33.44444444444444,37.15,31.785316140035743,31.000286
3,60,53.06770994055306,53.06770994055306,53.06770994055306,51.22222222222222,50.15,50.30857214497091,51.177773
4,73,56.36235734111917,56.36235734111917,56.36235734111917,61.22222222222222,64.44,63.003623796566835,62.74227
5,24,19.016582176477915,19.016582176477915,19.016582176477915,28.11111111111111,22.93,22.56954539731499,22.22026
6,42,41.22652036932136,41.22652036932136,41.22652036932136,39.0,40.03,42.229793041040175,39.810146
7,41,39.21148736344695,39.21148736344695,39.21148736344695,37.0,40.36,36.69051147467744,37.610065
8,50,47.62318585225046,47.62318585225046,47.62318585225046,49.44444444444444,49.67,47.94033436200093,50.044575
9,27,35.44659899452526,35.44659899452526,35.44659899452526,36.22222222222222,41.53,41.9338012085847,40.837677
10,34,37.32707890843999,37.32707890843999,37.32707890843999,38.0,43.41,41.37305247675782,41.371372
11,51,41.38748089451227,41.38748089451227,41.38748089451227,48.44444444444444,42.94,40.06593217875417,41.310497
12,29,30.67784484919933,30.67784484919933,30.67784484919933,32.333333333333336,32.3,33.88529475179929,33.06106
13,48,43.92580080232167,43.92580080232167,43.92580080232167,39.0,35.11,40.61270748858236,41.381706
14,11,37.366009719374034,37.366009719374034,37.366009719374034,33.666666666666664,33.98,33.338872923656396,32.926598
15,67,51.422568357280994,51.422568357280994,51.422568357280994,56.666666666666664,57.04,58.37820132382144,58.434956
16,42,61.2664998121212,61.2664998121212,61.2664998121212,57.333333333333336,55.83,58.16679435529942,57.310764
17,25,22.889562286018077,22.889562286018077,22.889562286018077,29.88888888888889,24.86,27.765260422747232,27.46605
18,43,39.439821091798855,39.439821091798855,39.439821091798855,53.666666666666664,44.05,52.22938514648419,51.18735
19,48,58.66751230970678,58.66751230970678,58.66751230970678,56.22222222222222,50.33,53.885161842276545,51.87126
