,temp,rain,google,naver,subway,holy,vacation,do1_pop,do2_pop,byun_pop,store,fri,thu,wed,mon,sun,sat,tue,mon1,mon2,mon3,mon4,mon5,mon6,mon7,mon8,mon9,mon10,mon11,mon12
801,-1.256441153351172,-0.49812232425082514,-0.0492155551059145,-0.8877203497488995,0.8933020314353304,-0.22962911081999196,0.0,0.5526143621284064,0.10458533073141078,-0.06669925811425086,-0.0007738955496749981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1679,0.8243412012683407,1.7582517282984915,0.9632935849747543,0.47779591392576504,-1.3175464970339616,-0.22962911081999196,0.0,-1.431617401825741,-1.504780268300179,-1.4665587760279732,-0.9857494563981939,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1223,0.9426795342324835,-0.49812232425082514,1.165795413360674,-0.4966778475101068,0.9277225571536142,-0.22962911081999196,0.0,-0.8708803896282903,-0.9119929394161684,-0.8647323795125049,-0.8215868629234407,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1180,0.33126481391774526,-0.49812232425082514,0.8576404575231723,1.705758955222553,-0.003966698029982987,-0.22962911081999196,0.0,-0.8742115005918395,-0.7936954680818594,-0.7741754295666038,-0.8215868629234407,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-0.6844725440244812,-0.49812232425082514,-0.4101970749773625,3.749614169454194e-16,6.292519753370443e-16,-0.22962911081999196,0.0,1.455345433250243,1.5683540419669277,1.568985650283589,1.3125268522483502,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
983,0.6961413405571858,-0.49812232425082514,0.7872050392221173,-0.3944432857142403,-0.47951912464659907,-0.22962911081999196,0.0,-0.5177826274920738,-0.22560761123468273,-0.48363854849017085,-0.8215868629234407,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45,-0.8028108769886242,0.5396032603629157,-0.8328095860163105,3.749614169454194e-16,6.292519753370443e-16,-0.22962911081999196,1.0,1.392054324942808,1.5683540419669277,1.5255937784345115,1.3125268522483502,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
619,1.771047864981484,-0.49812232425082514,0.0036110083117213065,0.25334553040878066,-0.8111193777504427,-0.22962911081999196,1.0,0.6692032458526288,0.6999726040403511,0.39551850723461973,0.6558764783493376,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
378,-1.2860257365922076,-0.49812232425082514,-0.9120494314509197,-1.1988357014415667,6.292519753370443e-16,-0.22962911081999196,0.0,0.923478049403552,1.0054660739696109,1.127520519297321,1.3125268522483502,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
61,-1.4635332360384221,-0.49812232425082514,-1.4227062156743413,0.3913610278683842,6.292519753370443e-16,-0.22962911081999196,1.0,1.3531913637014004,1.485155820369172,1.536913397177749,1.4766894457231032,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
